AlbSet,AOD,COD,th0,cos_th0,Ts,RH,rh,tpw,theta_trunc_cld,escape_alpha,escape,GHI,DNI,DHI,alb_C01,alb_C02,alb_C03,alb_C05,alb_C06
0,0.12,3.0,0.0,1.0,270.0,50.0,0.5,3.5027922523960817,3.0,1.0,g2,1086.2422637918912,630.0350461957278,456.2072175961636,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,0.0,1.0,270.0,90.0,0.9,6.307579202674779,3.0,1.0,g2,1073.086484741338,622.0277727031114,451.05871203822653,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,0.0,1.0,285.0,50.0,0.5,10.524269951667252,3.0,1.0,g2,1047.0016371584363,609.2690691829262,437.7325679755102,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,0.0,1.0,285.0,90.0,0.9,18.966876247123928,3.0,1.0,g2,1029.6779464310796,598.0734325546923,431.60451387638716,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,0.0,1.0,300.0,50.0,0.5,28.115555280876997,3.0,1.0,g2,1001.9240295447645,585.0739562625378,416.85007328222673,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,0.0,1.0,300.0,90.0,0.9,50.77481736061284,3.0,1.0,g2,980.7416250629773,571.2467886100801,409.4948364528971,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,0.0,1.0,320.0,50.0,0.5,89.89379743803187,3.0,1.0,g2,935.5782744327372,549.043915656597,386.53435877614004,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,0.0,1.0,320.0,90.0,0.9,163.54494133649348,3.0,1.0,g2,907.3253170803899,530.8845968587071,376.4407202216829,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,15.0,0.9659258262890683,270.0,50.0,0.5,3.5027922523960817,3.0,1.0,g2,1040.783351697195,594.3303823178732,446.4529693793219,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,15.0,0.9659258262890683,270.0,90.0,0.9,6.307579202674779,3.0,1.0,g2,1028.364147362138,586.6988507105262,441.6652966516119,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,15.0,0.9659258262890683,285.0,50.0,0.5,10.524269951667252,3.0,1.0,g2,1002.8347747182419,574.4496141987602,428.38516051948153,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,15.0,0.9659258262890683,285.0,90.0,0.9,18.966876247123928,3.0,1.0,g2,986.2319694165759,564.0815603986832,422.15040901789285,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,15.0,0.9659258262890683,300.0,50.0,0.5,28.115555280876997,3.0,1.0,g2,959.137056720504,551.4275537009946,407.7095030195093,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,15.0,0.9659258262890683,300.0,90.0,0.9,50.77481736061284,3.0,1.0,g2,938.6675532404619,538.4541256787667,400.2134275616952,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,15.0,0.9659258262890683,320.0,50.0,0.5,89.89379743803187,3.0,1.0,g2,894.8760179208631,516.8964922211183,377.9795256997448,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,15.0,0.9659258262890683,320.0,90.0,0.9,163.54494133649348,3.0,1.0,g2,867.9625601359194,500.1507918464659,367.81176828945354,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,30.0,0.8660254037844387,270.0,50.0,0.5,3.5027922523960817,3.0,1.0,g2,908.1005763243652,491.4455919504491,416.65498437391597,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,30.0,0.8660254037844387,270.0,90.0,0.9,6.307579202674779,3.0,1.0,g2,897.2184696786608,485.0239724488128,412.1944972298479,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,30.0,0.8660254037844387,285.0,50.0,0.5,10.524269951667252,3.0,1.0,g2,873.8965884045944,474.41302117470366,399.4835672298908,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,30.0,0.8660254037844387,285.0,90.0,0.9,18.966876247123928,3.0,1.0,g2,859.5768659626859,466.15535516173856,393.4215108009474,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,30.0,0.8660254037844387,300.0,50.0,0.5,28.115555280876997,3.0,1.0,g2,834.7204756346465,454.95897678278703,379.7614988518596,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,30.0,0.8660254037844387,300.0,90.0,0.9,50.77481736061284,3.0,1.0,g2,817.1069469558495,444.2906510704311,372.8162958854185,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,30.0,0.8660254037844387,320.0,50.0,0.5,89.89379743803187,3.0,1.0,g2,777.3648004727833,425.77660997592557,351.5881904968576,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,30.0,0.8660254037844387,320.0,90.0,0.9,163.54494133649348,3.0,1.0,g2,754.162380781116,411.88487936683623,342.27750141427975,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,45.0,0.7071067811865476,270.0,50.0,0.5,3.5027922523960817,3.0,1.0,g2,698.7524741107377,337.56022662605847,361.1922474846792,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,45.0,0.7071067811865476,270.0,90.0,0.9,6.307579202674779,3.0,1.0,g2,690.6089029879453,333.17314809820914,357.43575488973636,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,45.0,0.7071067811865476,285.0,50.0,0.5,10.524269951667252,3.0,1.0,g2,671.0900141999902,325.2354756916804,345.85453850830976,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,45.0,0.7071067811865476,285.0,90.0,0.9,18.966876247123928,3.0,1.0,g2,660.3668339394728,319.3666113940846,341.00022254538834,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,45.0,0.7071067811865476,300.0,50.0,0.5,28.115555280876997,3.0,1.0,g2,639.4787131480264,310.92788322379414,328.55082992423223,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,45.0,0.7071067811865476,300.0,90.0,0.9,50.77481736061284,3.0,1.0,g2,626.3989442072602,303.71734749503844,322.68159671222173,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,45.0,0.7071067811865476,320.0,50.0,0.5,89.89379743803187,3.0,1.0,g2,593.5063950755003,289.8814850317683,303.6249100437321,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,45.0,0.7071067811865476,320.0,90.0,0.9,163.54494133649348,3.0,1.0,g2,575.8584637304635,280.2205286104701,295.6379351199935,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,60.0,0.5000000000000001,270.0,50.0,0.5,3.5027922523960817,3.0,1.0,g2,431.4398566479732,162.18004821770845,269.25980843026474,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,60.0,0.5000000000000001,270.0,90.0,0.9,6.307579202674779,3.0,1.0,g2,426.51282860971844,160.06130306979088,266.45152553992745,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,60.0,0.5000000000000001,285.0,50.0,0.5,10.524269951667252,3.0,1.0,g2,412.58728387496626,155.59782575583108,256.9894581191351,0.0145,0.0288,0.4156,0.2031,0.0641
