source_server,AlbSet,AOD,COD,th0,cos_th0,Ts,RH,rh,tpw,escape,GHI,DNI,DHI,alb_C01,alb_C02,alb_C03,alb_C05,alb_C06
83,0,0.12,1.0,0.0,1.0,285.0,90.0,0.9,18.966876247123928,none,1023.943949261249,328.62738762895054,695.3165616322985,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,0.0,1.0,300.0,10.0,0.1,5.60472200819694,none,1061.3156718363402,344.94043048174086,716.3752413545991,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,0.0,1.0,300.0,50.0,0.5,28.115555280877004,none,996.0959671860576,322.8843226005529,673.2116445855047,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,0.0,1.0,300.0,90.0,0.9,50.77481736061284,none,974.731410991672,311.23303857767587,663.4983724139962,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,0.0,1.0,320.0,10.0,0.1,17.790732986801878,none,1009.806708858402,328.4479097281771,681.3587991302251,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,0.0,1.0,320.0,50.0,0.5,89.89379743803187,none,929.4910959557858,301.334098871764,628.1569970840218,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,0.0,1.0,320.0,90.0,0.9,163.54494133649348,none,900.2812612825171,286.6859365408095,613.5953247417077,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,15.0,0.9659258262890684,270.0,10.0,0.1,0.7002750439845209,none,1072.851053888168,335.36159550401203,737.4894583841559,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,1.0,15.0,0.9659258262890684,270.0,50.0,0.5,3.5027922523960817,none,1033.5408208303345,323.8411707539792,709.6996500763552,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,15.0,0.9659258262890684,270.0,90.0,0.9,6.307579202674779,none,1023.3228482602256,318.5325490851972,704.7902991750282,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,1.0,15.0,0.9659258262890684,285.0,10.0,0.1,2.102284871618859,none,1045.0076963937424,327.71961475402526,717.2880816397172,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,15.0,0.9659258262890684,285.0,50.0,0.5,10.524269951667252,none,997.5951488172288,312.6934179415158,684.901730875713,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,1.0,15.0,0.9659258262890684,285.0,90.0,0.9,18.966876247123928,none,978.2005999175094,302.5586653377321,675.6419345797772,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,15.0,0.9659258262890684,300.0,10.0,0.1,5.60472200819694,none,1016.7950176337332,319.4117847529698,697.3832328807634,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,1.0,15.0,0.9659258262890684,300.0,50.0,0.5,28.115555280877004,none,951.0968036068268,297.57553311285045,653.5212704939762,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,15.0,0.9659258262890684,300.0,90.0,0.9,50.77481736061284,none,932.7090786021714,288.13084904660815,644.5782295555634,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,1.0,15.0,0.9659258262890684,320.0,10.0,0.1,17.790732986801878,none,964.2745788332254,302.98221966659713,661.2923591666283,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,15.0,0.9659258262890684,320.0,50.0,0.5,89.89379743803187,none,888.9578737664116,277.9063426159925,611.051531150419,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,1.0,15.0,0.9659258262890684,320.0,90.0,0.9,163.54494133649348,none,857.6970051909029,262.3162369776552,595.3807682132478,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,30.0,0.8660254037844387,270.0,10.0,0.1,0.7002750439845209,none,937.2518768529908,260.5138246361784,676.7380522168123,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,30.0,0.8660254037844387,270.0,50.0,0.5,3.5027922523960817,none,903.0624573491724,249.94703949299753,653.1154178561746,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,30.0,0.8660254037844387,270.0,90.0,0.9,6.307579202674779,none,891.276191308388,244.2658303435389,647.010360964849,0.0145,0.0288,0.4156,0.2031,0.0641
