AlbSet,AOD,COD,th0,cos_th0,Ts,RH,rh,tpw,alb_C01,alb_C02,alb_C03,alb_C05,alb_C06,C01_rad,C02_rad,C03_rad,C05_rad,C06_rad,C01,C02,C03,C05,C06,C01_srf,C02_srf,C03_srf,C05_srf,C06_srf
4,0.12,0.5,0.0,1.0,320.0,90.0,0.9,163.54494133649348,0.0938,0.1669,0.2401,0.3428,0.2555,23.999910879756925,73.49645574275085,43.9186601117301,3.766612592204977,2.1321271398271135,0.23865405420435978,0.25009822272673654,0.3006870275227297,0.27027527883131286,0.1171216267661401,57.437237792988185,217.70262666684386,151.6262054191053,15.988965229919202,13.473119300993556
0,0.12,0.5,15.0,0.9659258262890683,270.0,10.0,0.1,0.7002750439845209,0.0145,0.0288,0.4156,0.2031,0.0641,11.465969368291034,28.860281086885205,18.018458516330764,0.9997939069117918,0.9414852467585109,0.11401709318152985,0.09820752489736158,0.12336252331090714,0.07174074061230849,0.051717499213306234,6.239569616010401,56.499552969888626,50.04944566438671,4.112594133668392,3.2710050646395867
1,0.12,0.5,15.0,0.9659258262890683,270.0,10.0,0.1,0.7002750439845209,0.0251,0.0472,0.3922,0.2218,0.0897,13.333733506492365,43.93257980707283,30.236366452455627,1.6866980233054847,1.4062442914628754,0.13259005731096057,0.14949646236013428,0.2070118516491034,0.12102990880892424,0.07724755994620709,13.79125434909147,109.34288020343627,95.05188827730592,8.804940402447578,6.395685405485207
2,0.12,0.5,15.0,0.9659258262890683,270.0,10.0,0.1,0.7002750439845209,0.0407,0.0745,0.3575,0.2494,0.1275,14.75494868095677,53.70677790734477,37.558936869719126,2.1182758013994047,1.844754072216319,0.14672255825990252,0.18275669986074555,0.25714548338994886,0.1519980005508596,0.10133570080579545,20.554528794339596,143.61894201581575,121.5301678582979,11.362934781308251,9.13786060092069
3,0.12,0.5,15.0,0.9659258262890683,270.0,10.0,0.1,0.7002750439845209,0.0673,0.1207,0.2988,0.2961,0.1916,16.938900813293657,62.310665117842596,43.306969817777144,2.7865937980217637,2.6731341093867416,0.168439681843477,0.21203453207919296,0.29649911888013214,0.19995351189251093,0.14684012487211195,29.298972892600766,174.65259240793733,141.92431041422196,15.379266394546114,14.524523996897239
4,0.12,0.5,15.0,0.9659258262890683,270.0,10.0,0.1,0.7002750439845209,0.0938,0.1669,0.2401,0.3428,0.2555,22.36556307871456,81.53375568396633,54.41300509453937,4.000032684992296,4.1097031270704045,0.22240217182642438,0.27744803722466843,0.37253606368756925,0.2870244610523578,0.225753477256243,53.492026417181435,245.98200820787292,183.6385940236451,22.931912499436514,23.335044350505434
0,0.12,0.5,15.0,0.9659258262890683,270.0,50.0,0.5,3.5027922523960817,0.0145,0.0288,0.4156,0.2031,0.0641,11.498851518424026,28.63742911963585,17.713520974134372,0.9556939919197849,0.9201180835009154,0.114344071830722,0.09744919062971606,0.12127478286277288,0.068576327886251,0.05054376202223507,6.244538455295455,55.406521358690256,48.922394059616856,3.891726857380448,2.946073288074227
1,0.12,0.5,15.0,0.9659258262890683,270.0,50.0,0.5,3.5027922523960817,0.0251,0.0472,0.3922,0.2218,0.0897,13.33472384945187,43.596303228115865,29.598264543490387,1.6643231836756986,1.3959097446169115,0.13259990523762674,0.1483521599051134,0.20264311713454358,0.11942439035654573,0.0766798644669458,13.888500533987248,107.56303987525484,93.19356239730894,8.428565371668714,5.781036118743317
2,0.12,0.5,15.0,0.9659258262890683,270.0,50.0,0.5,3.5027922523960817,0.0407,0.0745,0.3575,0.2494,0.1275,14.782168805405508,53.07301122357104,36.70401884789801,2.051075443848287,1.8286600611347494,0.14699323397566602,0.1806000799307993,0.2512923276219216,0.14717600335043612,0.10045162746708332,20.706208980568054,140.89355239810897,118.59854204539967,10.876455596798223,8.181631843429301
3,0.12,0.5,15.0,0.9659258262890683,270.0,50.0,0.5,3.5027922523960817,0.0673,0.1207,0.2988,0.2961,0.1916,17.000068692954926,61.83776018676593,42.239778431629425,2.7279858675142297,2.6441869497049493,0.16904793253829764,0.21042530233354428,0.28919264357140767,0.19574806883939963,0.14525000467296395,29.439392700962134,171.70568441376076,138.89347831990153,14.466578773919869,12.945017836860725
