AKA,ALF,ASA,BJC,BJF,BNF,CBF,CLD,CSA,CWA,DHF,DHL,DYB,ESD,FKD,FQA,GGF,GGS,HBG,HJA,HLA,HSF,HTF,JZB,LCA,LSA,LZD,MXF,NMD,NMG,PDF,QYA,QYF,SJM,SNF,SPD,SYA,SYB,THL,TYA,YCA,YGA,YTA
28.8,NaN,431.1,269.5,122.2,674.7,438.2,42,NaN,149.3,329,463.3,NaN,376.6,NaN,311.2,NaN,475.2,NaN,476.4,47.1,316.2,268.4,299.6,91.1,412.9,NaN,136.7,455.5,454.5,39.6,561.8,NaN,352.6,132.5,NaN,NaN,461.6,121.5,NaN,285.9,124.2,546.3
67.1,NaN,527.5,479.6,53.3,637.8,451.3,180.1,NaN,275.6,445.8,489.1,NaN,454.9,NaN,240.5,NaN,583,NaN,588.4,215.8,284.3,699.8,279.5,249.2,567.1,NaN,175.1,457.1,493.1,53.8,633.8,NaN,324.3,215.5,NaN,NaN,288.3,67.9,NaN,414.8,127.8,586.6
174.8,NaN,569.3,449,37.8,679.5,393.6,280.9,NaN,487.6,537.8,465.5,NaN,392.6,NaN,414.9,NaN,621,NaN,645.7,230.1,486.2,591.8,344.6,377.4,652.5,NaN,173.9,437.9,480.7,62.6,625.6,NaN,245.9,149.4,NaN,NaN,305.1,101.6,NaN,380.3,77,558.3
319.5,NaN,532.4,337.2,41.9,661.8,161.8,385.1,NaN,470.2,333.1,393.3,NaN,372.6,NaN,214.4,NaN,594.3,NaN,632.4,207.2,357.1,602.5,176,453,731.4,NaN,94.1,369.8,509.6,58,527.9,NaN,138.1,151.3,NaN,NaN,360.4,55.1,NaN,324.6,80.9,469.4
217.9,NaN,438.1,169.4,44.7,576,57.4,426.6,NaN,392.7,255.4,124.4,NaN,285.5,NaN,107.6,NaN,507.5,NaN,357.1,142.3,440.5,489.8,126.9,467.5,630.5,NaN,121.2,235.5,NaN,41,411,NaN,16,87,NaN,NaN,400.9,58.8,NaN,232.3,51.9,320
428.6,NaN,301.6,21.5,9.3,417.4,0,439.4,NaN,162.4,107.6,39.8,NaN,161.3,NaN,43.8,NaN,93,NaN,232.5,11.6,145.8,317.1,35.9,NaN,559.6,NaN,48,42.3,NaN,54.6,81.9,NaN,0,49.4,NaN,NaN,251.3,92,NaN,98.5,28.6,149.2
198,NaN,61.2,0,0,216.5,0,372.1,NaN,58.2,22.5,1.7,NaN,149.1,NaN,0,NaN,49.7,NaN,84.7,0,38.8,53.7,0,0,239.2,NaN,22.6,0,0,27.2,34.4,NaN,0,28.8,NaN,NaN,307.6,8.6,NaN,0,14.5,10.6
167.7,NaN,0,0,0,48.4,0,265.9,NaN,0,0,0,NaN,0,NaN,0,NaN,10.9,NaN,22.4,0,0,11.8,0,0,252.4,NaN,8.8,0,0,2.3,0,NaN,0,2.9,NaN,NaN,35.5,0,NaN,0,-0.1,0
69.6,NaN,0,0,0,0,0,116.9,NaN,0,0,0,NaN,0,NaN,0,NaN,0,NaN,0,0,0,0,0,0,8.6,NaN,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,NaN,0,NaN,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,NaN,0,0,0
