Ta,rh,COD,th0,dsw,dni,dhi,C01,C02,C03,C04,C05,C06
283.0,0.7,0.1,30.0,847.0639760098023,685.8267728783175,253.12056810167903,8.459799876360258,10.875583155020156,7.800354208350234,0.0027254601727335,2.5572775135104937,0.5618187894412401
243.0,0.8,0.63,15.0,1033.4260800005063,514.4548473004196,536.5008565334322,9.682437938922137,13.646764028201394,8.957681185925273,0.2536075513820526,2.8868701177461036,0.6459939046003824
263.0,0.9,15.0,15.0,489.2378471567299,5.470929948855337,483.9533346253121,45.02539032774122,121.23279371689308,71.03059637656554,0.1619276615408115,5.974047285175891,4.573597364313402
268.0,0.2,10.0,60.0,203.75161319373697,5.574112426307692,200.96455698058313,18.25992087585579,27.70774752980314,9.295679409527184,0.1093340701495352,2.727502551315035,0.6287784838305852
268.0,1.0,6.31,0.0,778.0166728708405,3.2215006123124628,774.7951722585279,22.289868985651573,35.11972387573489,13.271899523938114,0.0115665085823035,3.971687944526492,0.901956003324006
258.0,0.8,0.1,45.0,699.6354603159137,649.1112978737734,240.6444598445674,7.873886591007822,9.908102294046673,6.490952754016423,0.0294555239817687,2.0882260543937914,0.4644243155127226
248.0,0.8,0.63,45.0,682.6936365851956,367.67010790404527,422.7116100466555,9.156495572348264,11.89282312371067,6.903251858753221,0.1026723502075778,2.2235087256129304,0.5133707651823741
278.0,0.2,6.31,0.0,774.3607649039305,3.3323712746538985,771.0283936292766,21.50205934608545,34.17772339975072,12.83797726917637,0.0556647972719073,3.8583152523693096,0.8807132079773582
258.0,0.7,20.0,15.0,407.50656368443066,4.559153432017943,403.10275963843,49.97389451925204,135.2930876788487,77.66683357255751,0.4486790610647486,6.19982612742525,4.625557595399143
293.0,0.1,3.98,30.0,692.2381237302493,37.46113254065194,659.7958312955088,16.874971269783003,25.806568381848557,10.468075126452684,0.0189117724273138,3.252953536493849,0.7529557144396579
298.0,0.7,0.25,15.0,920.2940830989874,610.8834431902704,330.2259884691141,8.930080103030654,12.265689935157171,8.600150510359075,0.0015995539821223,2.840142061703709,0.6155795283521568
258.0,0.8,6.31,45.0,442.1954716424374,12.855713603652454,433.1051093763025,19.88960251344882,30.56696978781388,10.917708500796357,0.0720260222788433,3.291153683796344,0.7634864683090713
258.0,0.2,0.25,60.0,441.16040916505233,409.92268422732513,236.19906705138968,7.554821578689313,8.843062062271763,4.816642505306745,0.0937142477928895,1.5360470076540318,0.356753052006714
258.0,0.7,40.0,0.0,250.25679057663223,0.0245759337266603,250.23221464290555,62.87880467337165,170.70010136460735,95.46111858207192,0.5327430942922126,6.667876725749041,4.736063080228977
298.0,0.7,3.98,0.0,803.574386163492,21.19242883151811,782.381957331974,17.190623645032513,26.16483182352742,11.273762632370804,0.002002676887911,3.525635667911033,0.7749495469020103
243.0,0.9,1.0,45.0,667.5419199876279,249.02212982058603,491.4566833259747,10.15579315223144,13.631791174721982,7.233893977941825,0.1809806536769128,2.3327113006776043,0.5298769096433211
263.0,0.8,0.63,45.0,660.9361747375267,354.89813897975085,409.985294034459,9.215390385053574,12.00086744877558,6.971861412576654,0.0140912827904093,2.233323819873723,0.5154395969117512
263.0,0.7,6.31,30.0,613.7114361752128,16.298496935964053,599.5965237851651,21.33392872105501,33.3786623504395,12.083780040594586,0.0509116494259415,3.681382114256232,0.853821394235483
273.0,0.4,20.0,0.0,422.51907040180697,0.0452302940377491,422.4738401077692,50.9642698837555,137.36519978230345,78.8868452205144,0.1835548449972575,6.335024479902678,4.63360377607974
238.0,0.4,2.51,45.0,594.6963657769048,62.03805213873038,550.828838418004,13.412350717342813,19.56468915762776,8.384801909177288,0.4925605824692429,2.6503276555849924,0.6326247747723746
233.0,0.4,50.0,45.0,116.34870991569883,2.9534996832709695,114.26027026142562,47.583976658524534,126.72476183032356,72.07627627091149,2.351789995613484,5.139606767451804,4.036608573662575
288.0,0.4,50.0,15.0,181.13782900579304,2.0282030896952343,179.1787352604971,63.92084301075654,170.08305158699287,92.89983413209248,0.0367493763309528,6.448553303796111,4.526675366506998
273.0,0.4,6.31,45.0,430.4339040216768,12.768504980473958,421.40520756436945,19.69391884312684,30.29878035088231,10.852042519900504,0.0282981357088783,3.2656544450693854,0.756456739183186
288.0,0.7,1.0,0.0,961.3435722994852,311.3164808707108,650.0270914287746,10.81181489047345,15.529723269952466,9.289561206456248,0.0031285338799899,2.9425372732519524,0.6513187503009049
